orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
122017 :: 1007 :: 314913 :: 254544 :: 2003-11-21 :: 1
122021 :: 1007 :: 308853 :: 206728 :: 2003-11-22 :: 1
122054 :: 1007 :: 302783 :: 289565 :: 2003-11-24 :: 1
122060 :: 1014 :: 301559 :: 206363 :: 2003-11-24 :: 1
122062 :: 1017 :: 314221 :: 223418 :: 2003-11-24 :: 1
122069 :: 1002 :: 302542 :: 275764 :: 2003-11-25 :: 1
122070 :: 1010 :: 303080 :: 230056 :: 2003-11-25 :: 1
122099 :: 1005 :: 310447 :: 282450 :: 2003-11-27 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
122121 :: 1003 :: 308257 :: 237038 :: 2003-11-28 :: 1
122132 :: 1010 :: 307718 :: 263174 :: 2003-11-29 :: 1
122138 :: 1016 :: 305154 :: 218014 :: 2003-11-30 :: 1
122146 :: 1008 :: 314960 :: 268639 :: 2003-11-30 :: 1
122149 :: 1001 :: 303796 :: 271466 :: 2003-11-30 :: 1
122159 :: 1009 :: 304888 :: 216679 :: 2003-12-01 :: 1
122202 :: 1006 :: 301403 :: 215039 :: 2003-12-04 :: 1
122216 :: 1017 :: 311645 :: 264975 :: 2003-12-04 :: 1
122228 :: 1004 :: 313799 :: 224666 :: 2003-12-05 :: 1
122238 :: 1014 :: 305907 :: 210372 :: 2003-12-06 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
122239 :: 1018 :: 310591 :: 212312 :: 2003-12-06 :: 1
122245 :: 1002 :: 311794 :: 220874 :: 2003-12-07 :: 1
122260 :: 1001 :: 307753 :: 276921 :: 2003-12-08 :: 1
122286 :: 1016 :: 302263 :: 221825 :: 2003-12-10 :: 1
122289 :: 1001 :: 306728 :: 200908 :: 2003-12-10 :: 1
122304 :: 1014 :: 310574 :: 239293 :: 2003-12-11 :: 1
122319 :: 1017 :: 307286 :: 247852 :: 2003-12-12 :: 1
122320 :: 1001 :: 312681 :: 207150 :: 2003-12-12 :: 1
122334 :: 1002 :: 304109 :: 220709 :: 2003-12-13 :: 1
122346 :: 1012 :: 313664 :: 270976 :: 2003-12-14 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
122381 :: 1012 :: 314232 :: 246265 :: 2003-12-16 :: 1
122390 :: 1011 :: 301339 :: 212990 :: 2003-12-17 :: 1
122398 :: 1012 :: 300997 :: 246754 :: 2003-12-17 :: 1
122438 :: 1008 :: 307388 :: 243071 :: 2003-12-19 :: 1
122446 :: 1010 :: 305324 :: 239975 :: 2003-12-20 :: 1
122475 :: 1003 :: 301753 :: 244465 :: 2003-12-22 :: 1
122532 :: 1001 :: 309099 :: 229724 :: 2003-12-25 :: 1
122533 :: 1017 :: 312169 :: 225392 :: 2003-12-25 :: 1
122539 :: 1015 :: 311573 :: 248552 :: 2003-12-26 :: 1
122540 :: 1007 :: 313618 :: 226464 :: 2003-12-26 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
122578 :: 1016 :: 310753 :: 268033 :: 2003-12-29 :: 1
122589 :: 1006 :: 300467 :: 235833 :: 2003-12-29 :: 1
122622 :: 1016 :: 302311 :: 272088 :: 2003-12-31 :: 1
122630 :: 1001 :: 313742 :: 204794 :: 2004-01-01 :: 1
122659 :: 1012 :: 314255 :: 270716 :: 2004-01-03 :: 1
122700 :: 1015 :: 300254 :: 212909 :: 2004-01-06 :: 1
122707 :: 1016 :: 305628 :: 278514 :: 2004-01-07 :: 1
122709 :: 1001 :: 309577 :: 231875 :: 2004-01-07 :: 1
122730 :: 1016 :: 311986 :: 263551 :: 2004-01-08 :: 1
122732 :: 1011 :: 314290 :: 278368 :: 2004-01-08 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
122734 :: 1007 :: 302589 :: 288822 :: 2004-01-09 :: 1
122768 :: 1007 :: 314326 :: 237991 :: 2004-01-10 :: 1
122771 :: 1008 :: 302192 :: 249161 :: 2004-01-10 :: 1
122781 :: 1018 :: 303050 :: 278577 :: 2004-01-11 :: 1
122807 :: 1016 :: 313748 :: 269561 :: 2004-01-13 :: 1
122830 :: 1004 :: 309571 :: 283997 :: 2004-01-15 :: 1
122849 :: 1004 :: 307425 :: 208209 :: 2004-01-16 :: 1
122852 :: 1016 :: 305119 :: 278338 :: 2004-01-17 :: 1
122857 :: 1016 :: 305768 :: 286089 :: 2004-01-17 :: 1
122870 :: 1002 :: 301105 :: 285929 :: 2004-01-18 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
122906 :: 1010 :: 313804 :: 223873 :: 2004-01-20 :: 1
122917 :: 1012 :: 304266 :: 224075 :: 2004-01-21 :: 1
122926 :: 1005 :: 308827 :: 279023 :: 2004-01-22 :: 1
122941 :: 1015 :: 314535 :: 200480 :: 2004-01-22 :: 1
122958 :: 1001 :: 303747 :: 270869 :: 2004-01-23 :: 1
122966 :: 1003 :: 302962 :: 209100 :: 2004-01-24 :: 1
122977 :: 1001 :: 314861 :: 255516 :: 2004-01-24 :: 1
122985 :: 1012 :: 303790 :: 281146 :: 2004-01-25 :: 1
123032 :: 1014 :: 313567 :: 257202 :: 2004-01-28 :: 1
123039 :: 1009 :: 302212 :: 238421 :: 2004-01-28 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
123045 :: 1007 :: 306986 :: 207435 :: 2004-01-29 :: 1
123057 :: 1006 :: 312232 :: 256788 :: 2004-01-29 :: 1
123073 :: 1003 :: 303164 :: 221067 :: 2004-01-30 :: 1
123079 :: 1001 :: 313818 :: 218203 :: 2004-01-31 :: 1
123095 :: 1001 :: 311364 :: 272707 :: 2004-02-01 :: 1
123096 :: 1010 :: 302429 :: 233063 :: 2004-02-01 :: 1
123127 :: 1014 :: 304229 :: 287927 :: 2004-02-03 :: 1
123140 :: 1004 :: 302858 :: 229662 :: 2004-02-04 :: 1
123150 :: 1013 :: 314214 :: 208543 :: 2004-02-04 :: 1
123190 :: 1001 :: 306882 :: 267557 :: 2004-02-07 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
123202 :: 1012 :: 313992 :: 263558 :: 2004-02-08 :: 1
123204 :: 1005 :: 313864 :: 214923 :: 2004-02-08 :: 1
123217 :: 1017 :: 309796 :: 223704 :: 2004-02-08 :: 1
123228 :: 1005 :: 312128 :: 232417 :: 2004-02-09 :: 1
123293 :: 1018 :: 303979 :: 289344 :: 2004-02-14 :: 1
123296 :: 1008 :: 308950 :: 209738 :: 2004-02-14 :: 1
123299 :: 1014 :: 301540 :: 222333 :: 2004-02-14 :: 1
123340 :: 1006 :: 311766 :: 204048 :: 2004-02-16 :: 1
123348 :: 1006 :: 309312 :: 213750 :: 2004-02-17 :: 1
123354 :: 1004 :: 301666 :: 269504 :: 2004-02-17 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
123359 :: 1009 :: 308820 :: 278174 :: 2004-02-18 :: 1
123361 :: 1018 :: 313308 :: 237692 :: 2004-02-18 :: 1
123367 :: 1003 :: 308791 :: 202242 :: 2004-02-18 :: 1
123373 :: 1013 :: 302743 :: 285796 :: 2004-02-18 :: 1
123377 :: 1008 :: 303012 :: 237374 :: 2004-02-18 :: 1
123391 :: 1001 :: 314604 :: 223231 :: 2004-02-19 :: 1
123415 :: 1017 :: 300398 :: 241932 :: 2004-02-20 :: 1
123427 :: 1007 :: 301629 :: 243623 :: 2004-02-21 :: 1
123440 :: 1010 :: 310971 :: 277630 :: 2004-02-22 :: 1
123445 :: 1013 :: 303938 :: 224679 :: 2004-02-22 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
123449 :: 1015 :: 313380 :: 220842 :: 2004-02-23 :: 1
123451 :: 1002 :: 310595 :: 214927 :: 2004-02-23 :: 1
123456 :: 1010 :: 308888 :: 218771 :: 2004-02-23 :: 1
123474 :: 1004 :: 310463 :: 277596 :: 2004-02-24 :: 1
123493 :: 1012 :: 302089 :: 247599 :: 2004-02-25 :: 1
123494 :: 1008 :: 300802 :: 255925 :: 2004-02-25 :: 1
123509 :: 1012 :: 312160 :: 287852 :: 2004-02-27 :: 1
123522 :: 1006 :: 313894 :: 263298 :: 2004-02-28 :: 1
123530 :: 1018 :: 302874 :: 206288 :: 2004-02-28 :: 1
123534 :: 1017 :: 313930 :: 252000 :: 2004-02-29 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
123535 :: 1014 :: 302205 :: 233158 :: 2004-02-29 :: 1
123540 :: 1007 :: 306901 :: 235500 :: 2004-02-29 :: 1
123551 :: 1001 :: 303975 :: 256720 :: 2004-03-01 :: 1
123553 :: 1002 :: 307700 :: 221369 :: 2004-03-01 :: 1
123619 :: 1016 :: 304468 :: 223989 :: 2004-03-05 :: 1
123623 :: 1017 :: 312643 :: 282481 :: 2004-03-05 :: 1
123625 :: 1009 :: 302425 :: 211262 :: 2004-03-05 :: 1
123626 :: 1001 :: 306043 :: 278450 :: 2004-03-06 :: 1
123634 :: 1017 :: 313470 :: 220234 :: 2004-03-06 :: 1
123652 :: 1015 :: 312753 :: 207075 :: 2004-03-07 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
123677 :: 1003 :: 312573 :: 210658 :: 2004-03-08 :: 1
123707 :: 1010 :: 302932 :: 253421 :: 2004-03-10 :: 1
123719 :: 1007 :: 300465 :: 254339 :: 2004-03-11 :: 1
123723 :: 1016 :: 310327 :: 286813 :: 2004-03-11 :: 1
123755 :: 1017 :: 305911 :: 223961 :: 2004-03-13 :: 1
123782 :: 1010 :: 311264 :: 261570 :: 2004-03-15 :: 1
123813 :: 1017 :: 314996 :: 212757 :: 2004-03-16 :: 1
123820 :: 1006 :: 305669 :: 288670 :: 2004-03-17 :: 1
123850 :: 1014 :: 304954 :: 280650 :: 2004-03-19 :: 1
123857 :: 1006 :: 314913 :: 255077 :: 2004-03-20 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
123869 :: 1005 :: 307313 :: 259626 :: 2004-03-20 :: 1
123890 :: 1013 :: 310240 :: 209283 :: 2004-03-21 :: 1
123895 :: 1012 :: 308896 :: 203984 :: 2004-03-21 :: 1
123908 :: 1014 :: 303534 :: 251568 :: 2004-03-22 :: 1
123912 :: 1003 :: 300068 :: 262079 :: 2004-03-22 :: 1
123914 :: 1001 :: 313537 :: 214288 :: 2004-03-23 :: 1
123926 :: 1001 :: 301447 :: 287328 :: 2004-03-23 :: 1
123933 :: 1013 :: 305875 :: 208648 :: 2004-03-24 :: 1
123939 :: 1017 :: 311191 :: 279421 :: 2004-03-24 :: 1
123945 :: 1004 :: 310457 :: 204636 :: 2004-03-25 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
123948 :: 1012 :: 311354 :: 221127 :: 2004-03-25 :: 1
123962 :: 1005 :: 308133 :: 206622 :: 2004-03-26 :: 1
123967 :: 1006 :: 307290 :: 253583 :: 2004-03-27 :: 1
123996 :: 1002 :: 302104 :: 265674 :: 2004-03-28 :: 1
123998 :: 1013 :: 302461 :: 201577 :: 2004-03-28 :: 1
124006 :: 1016 :: 313209 :: 201812 :: 2004-03-29 :: 1
124043 :: 1018 :: 307672 :: 228474 :: 2004-04-01 :: 1
124055 :: 1013 :: 304497 :: 283250 :: 2004-04-01 :: 1
124092 :: 1002 :: 303262 :: 215086 :: 2004-04-04 :: 1
124100 :: 1008 :: 311315 :: 203455 :: 2004-04-05 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
124148 :: 1014 :: 306387 :: 276447 :: 2004-04-08 :: 1
124154 :: 1012 :: 314158 :: 202389 :: 2004-04-09 :: 1
124185 :: 1018 :: 302873 :: 231057 :: 2004-04-11 :: 1
124199 :: 1015 :: 300734 :: 252936 :: 2004-04-12 :: 1
124232 :: 1015 :: 309859 :: 267324 :: 2004-04-14 :: 1
124245 :: 1015 :: 304013 :: 207077 :: 2004-04-15 :: 1
124257 :: 1006 :: 303344 :: 231545 :: 2004-04-16 :: 1
124277 :: 1006 :: 311918 :: 287848 :: 2004-04-17 :: 1
124294 :: 1004 :: 314301 :: 251383 :: 2004-04-18 :: 1
124296 :: 1018 :: 312510 :: 228707 :: 2004-04-18 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
124326 :: 1010 :: 306806 :: 283941 :: 2004-04-20 :: 1
124364 :: 1001 :: 301081 :: 207511 :: 2004-04-23 :: 1
124367 :: 1006 :: 312703 :: 273656 :: 2004-04-23 :: 1
124408 :: 1005 :: 302129 :: 222852 :: 2004-04-26 :: 1
124416 :: 1012 :: 314127 :: 283167 :: 2004-04-26 :: 1
124474 :: 1001 :: 312741 :: 213246 :: 2004-04-30 :: 1
124481 :: 1001 :: 301821 :: 260144 :: 2004-04-30 :: 1
124522 :: 1005 :: 314785 :: 278696 :: 2004-05-03 :: 1
124525 :: 1001 :: 312635 :: 268051 :: 2004-05-03 :: 1
124536 :: 1004 :: 302485 :: 238714 :: 2004-05-04 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
124538 :: 1018 :: 312109 :: 215538 :: 2004-05-04 :: 1
124557 :: 1013 :: 312451 :: 253747 :: 2004-05-06 :: 1
124575 :: 1014 :: 312177 :: 228248 :: 2004-05-07 :: 1
124577 :: 1010 :: 311189 :: 218345 :: 2004-05-07 :: 1
124583 :: 1007 :: 301486 :: 249832 :: 2004-05-08 :: 1
124596 :: 1001 :: 301158 :: 240533 :: 2004-05-08 :: 1
124599 :: 1008 :: 305111 :: 221801 :: 2004-05-09 :: 1
124608 :: 1014 :: 306895 :: 224314 :: 2004-05-09 :: 1
124614 :: 1002 :: 303059 :: 239828 :: 2004-05-09 :: 1
124622 :: 1003 :: 300772 :: 260310 :: 2004-05-10 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
124647 :: 1015 :: 302888 :: 237822 :: 2004-05-11 :: 1
124660 :: 1006 :: 303129 :: 266904 :: 2004-05-12 :: 1
124661 :: 1014 :: 307331 :: 239708 :: 2004-05-12 :: 1
124662 :: 1016 :: 304628 :: 253390 :: 2004-05-12 :: 1
124664 :: 1006 :: 305781 :: 284957 :: 2004-05-12 :: 1
124675 :: 1012 :: 310138 :: 277099 :: 2004-05-13 :: 1
124683 :: 1002 :: 308568 :: 212842 :: 2004-05-14 :: 1
124732 :: 1001 :: 311973 :: 233679 :: 2004-05-17 :: 1
124776 :: 1017 :: 312382 :: 217309 :: 2004-05-19 :: 1
124819 :: 1010 :: 313742 :: 241406 :: 2004-05-23 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
124831 :: 1010 :: 304151 :: 203367 :: 2004-05-24 :: 1
124857 :: 1014 :: 301942 :: 232785 :: 2004-05-26 :: 1
124872 :: 1009 :: 313791 :: 249042 :: 2004-05-27 :: 1
124880 :: 1012 :: 300231 :: 277324 :: 2004-05-27 :: 1
124885 :: 1017 :: 307382 :: 212175 :: 2004-05-28 :: 1
124893 :: 1011 :: 304812 :: 203370 :: 2004-05-28 :: 1
124896 :: 1017 :: 306267 :: 224975 :: 2004-05-28 :: 1
124919 :: 1001 :: 312046 :: 269142 :: 2004-05-30 :: 1
124925 :: 1010 :: 314034 :: 263771 :: 2004-05-30 :: 1
124935 :: 1012 :: 312809 :: 274373 :: 2004-05-31 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
124975 :: 1014 :: 314050 :: 205702 :: 2004-06-02 :: 1
124981 :: 1009 :: 306661 :: 245793 :: 2004-06-02 :: 1
124997 :: 1005 :: 301235 :: 273299 :: 2004-06-04 :: 1
125007 :: 1010 :: 312948 :: 201214 :: 2004-06-04 :: 1
125021 :: 1001 :: 309492 :: 201976 :: 2004-06-05 :: 1
125022 :: 1015 :: 302200 :: 222073 :: 2004-06-05 :: 1
125029 :: 1011 :: 311959 :: 276770 :: 2004-06-06 :: 1
125052 :: 1011 :: 305665 :: 257302 :: 2004-06-07 :: 1
125054 :: 1011 :: 307575 :: 240690 :: 2004-06-07 :: 1
125055 :: 1001 :: 303303 :: 230874 :: 2004-06-08 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
125057 :: 1005 :: 303095 :: 272534 :: 2004-06-08 :: 1
125066 :: 1018 :: 309116 :: 207921 :: 2004-06-09 :: 1
125086 :: 1013 :: 313432 :: 275962 :: 2004-06-10 :: 1
125091 :: 1005 :: 306656 :: 283637 :: 2004-06-10 :: 1
125109 :: 1009 :: 308754 :: 266734 :: 2004-06-12 :: 1
125115 :: 1018 :: 312316 :: 213348 :: 2004-06-12 :: 1
125142 :: 1009 :: 300694 :: 260077 :: 2004-06-13 :: 1
125172 :: 1009 :: 301047 :: 262490 :: 2004-06-15 :: 1
125186 :: 1010 :: 300943 :: 250271 :: 2004-06-16 :: 1
125232 :: 1016 :: 305481 :: 257394 :: 2004-06-19 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
125238 :: 1010 :: 303664 :: 241129 :: 2004-06-20 :: 1
125280 :: 1007 :: 304222 :: 220134 :: 2004-06-22 :: 1
125287 :: 1016 :: 303779 :: 263110 :: 2004-06-23 :: 1
125289 :: 1006 :: 305126 :: 202212 :: 2004-06-23 :: 1
125309 :: 1006 :: 307760 :: 213551 :: 2004-06-24 :: 1
125326 :: 1004 :: 314559 :: 226233 :: 2004-06-25 :: 1
125333 :: 1011 :: 313968 :: 206991 :: 2004-06-26 :: 1
125338 :: 1011 :: 306213 :: 253085 :: 2004-06-26 :: 1
125356 :: 1014 :: 313942 :: 278514 :: 2004-06-27 :: 1
125370 :: 1005 :: 309586 :: 270814 :: 2004-06-28 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
125378 :: 1010 :: 305224 :: 234745 :: 2004-06-29 :: 1
125429 :: 1016 :: 312439 :: 202573 :: 2004-07-02 :: 1
125433 :: 1002 :: 307156 :: 226698 :: 2004-07-02 :: 1
125440 :: 1002 :: 300281 :: 203243 :: 2004-07-02 :: 1
125452 :: 1003 :: 313774 :: 228924 :: 2004-07-03 :: 1
125471 :: 1015 :: 300888 :: 228770 :: 2004-07-04 :: 1
125483 :: 1018 :: 304972 :: 226032 :: 2004-07-05 :: 1
125497 :: 1017 :: 309590 :: 231697 :: 2004-07-05 :: 1
125516 :: 1002 :: 307881 :: 270268 :: 2004-07-07 :: 1
125518 :: 1012 :: 301141 :: 227760 :: 2004-07-07 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
125521 :: 1011 :: 310403 :: 254907 :: 2004-07-07 :: 1
125525 :: 1013 :: 309669 :: 206539 :: 2004-07-07 :: 1
125531 :: 1005 :: 304830 :: 270072 :: 2004-07-07 :: 1
125539 :: 1010 :: 309604 :: 216676 :: 2004-07-08 :: 1
125541 :: 1010 :: 311475 :: 285064 :: 2004-07-08 :: 1
125543 :: 1009 :: 305830 :: 259713 :: 2004-07-08 :: 1
125548 :: 1017 :: 308350 :: 263217 :: 2004-07-09 :: 1
125551 :: 1007 :: 304814 :: 215014 :: 2004-07-09 :: 1
125561 :: 1017 :: 304737 :: 254071 :: 2004-07-10 :: 1
125569 :: 1012 :: 306191 :: 204206 :: 2004-07-10 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
125594 :: 1016 :: 307701 :: 270923 :: 2004-07-11 :: 1
125621 :: 1002 :: 314137 :: 235815 :: 2004-07-13 :: 1
125622 :: 1004 :: 307086 :: 206369 :: 2004-07-13 :: 1
125635 :: 1005 :: 302752 :: 225810 :: 2004-07-14 :: 1
125638 :: 1011 :: 313271 :: 265784 :: 2004-07-14 :: 1
125646 :: 1013 :: 311696 :: 222743 :: 2004-07-14 :: 1
125672 :: 1002 :: 308516 :: 216308 :: 2004-07-16 :: 1
125684 :: 1014 :: 311564 :: 274226 :: 2004-07-17 :: 1
125687 :: 1012 :: 309430 :: 245844 :: 2004-07-17 :: 1
125690 :: 1017 :: 312175 :: 282322 :: 2004-07-17 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
125707 :: 1007 :: 308519 :: 241041 :: 2004-07-18 :: 1
125738 :: 1001 :: 314053 :: 270867 :: 2004-07-21 :: 1
125760 :: 1006 :: 302993 :: 275395 :: 2004-07-22 :: 1
125762 :: 1018 :: 313568 :: 220213 :: 2004-07-22 :: 1
125784 :: 1011 :: 314404 :: 263279 :: 2004-07-24 :: 1
125791 :: 1015 :: 300519 :: 207630 :: 2004-07-24 :: 1
125796 :: 1012 :: 301611 :: 232486 :: 2004-07-25 :: 1
125798 :: 1009 :: 312590 :: 289503 :: 2004-07-25 :: 1
125813 :: 1014 :: 309561 :: 243753 :: 2004-07-26 :: 1
125833 :: 1016 :: 313350 :: 218205 :: 2004-07-27 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
125839 :: 1016 :: 312720 :: 205224 :: 2004-07-27 :: 1
125863 :: 1013 :: 306435 :: 206132 :: 2004-07-29 :: 1
125865 :: 1013 :: 314377 :: 232277 :: 2004-07-29 :: 1
125886 :: 1005 :: 313489 :: 208175 :: 2004-07-30 :: 1
125887 :: 1006 :: 301713 :: 212363 :: 2004-07-30 :: 1
125944 :: 1007 :: 304157 :: 272786 :: 2004-08-02 :: 1
125951 :: 1010 :: 303596 :: 215322 :: 2004-08-02 :: 1
125971 :: 1007 :: 307013 :: 215074 :: 2004-08-04 :: 1
125974 :: 1011 :: 314562 :: 202602 :: 2004-08-04 :: 1
125977 :: 1001 :: 303971 :: 250482 :: 2004-08-04 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
126003 :: 1016 :: 312181 :: 209317 :: 2004-08-06 :: 1
126013 :: 1002 :: 304545 :: 223300 :: 2004-08-06 :: 1
126038 :: 1010 :: 301790 :: 258275 :: 2004-08-08 :: 1
126041 :: 1005 :: 311911 :: 275819 :: 2004-08-08 :: 1
126058 :: 1005 :: 307117 :: 204007 :: 2004-08-09 :: 1
126075 :: 1013 :: 301151 :: 222674 :: 2004-08-09 :: 1
126097 :: 1009 :: 314465 :: 265598 :: 2004-08-10 :: 1
126116 :: 1001 :: 305365 :: 253067 :: 2004-08-12 :: 1
126125 :: 1003 :: 312651 :: 217324 :: 2004-08-12 :: 1
126128 :: 1014 :: 313075 :: 210922 :: 2004-08-12 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
126143 :: 1003 :: 308832 :: 237807 :: 2004-08-13 :: 1
126167 :: 1003 :: 304074 :: 276927 :: 2004-08-15 :: 1
126173 :: 1009 :: 314102 :: 227515 :: 2004-08-15 :: 1
126189 :: 1013 :: 307343 :: 277933 :: 2004-08-16 :: 1
126211 :: 1003 :: 313116 :: 253709 :: 2004-08-17 :: 1
126234 :: 1008 :: 314158 :: 254236 :: 2004-08-19 :: 1
126237 :: 1002 :: 309888 :: 271507 :: 2004-08-19 :: 1
126243 :: 1003 :: 309320 :: 246605 :: 2004-08-20 :: 1
126247 :: 1007 :: 305780 :: 278789 :: 2004-08-20 :: 1
126267 :: 1012 :: 304420 :: 214949 :: 2004-08-21 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
126270 :: 1009 :: 304447 :: 204676 :: 2004-08-21 :: 1
126279 :: 1008 :: 307898 :: 206904 :: 2004-08-21 :: 1
126289 :: 1005 :: 310190 :: 201422 :: 2004-08-22 :: 1
126308 :: 1014 :: 312796 :: 201757 :: 2004-08-23 :: 1
126310 :: 1003 :: 307101 :: 223906 :: 2004-08-24 :: 1
126317 :: 1012 :: 307119 :: 259086 :: 2004-08-24 :: 1
126342 :: 1001 :: 302458 :: 283687 :: 2004-08-26 :: 1
126352 :: 1003 :: 313076 :: 221106 :: 2004-08-27 :: 1
126384 :: 1010 :: 306471 :: 239026 :: 2004-08-28 :: 1
126393 :: 1008 :: 310720 :: 204841 :: 2004-08-29 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
126406 :: 1016 :: 305179 :: 201461 :: 2004-08-29 :: 1
126414 :: 1017 :: 304637 :: 222370 :: 2004-08-30 :: 1
126427 :: 1002 :: 307676 :: 245481 :: 2004-08-31 :: 1
126428 :: 1010 :: 314382 :: 216232 :: 2004-08-31 :: 1
126475 :: 1001 :: 307422 :: 277286 :: 2004-09-03 :: 1
126506 :: 1009 :: 302892 :: 278428 :: 2004-09-05 :: 1
126508 :: 1006 :: 310322 :: 285289 :: 2004-09-05 :: 1
126516 :: 1008 :: 306813 :: 289876 :: 2004-09-06 :: 1
126524 :: 1001 :: 301539 :: 266267 :: 2004-09-06 :: 1
126550 :: 1015 :: 305119 :: 244147 :: 2004-09-08 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
126566 :: 1008 :: 302160 :: 213167 :: 2004-09-08 :: 1
126567 :: 1015 :: 309279 :: 265424 :: 2004-09-09 :: 1
126575 :: 1017 :: 303202 :: 239073 :: 2004-09-10 :: 1
126586 :: 1004 :: 314386 :: 285777 :: 2004-09-10 :: 1
126595 :: 1007 :: 314985 :: 216893 :: 2004-09-11 :: 1
126622 :: 1018 :: 309033 :: 251757 :: 2004-09-13 :: 1
126631 :: 1016 :: 311741 :: 221543 :: 2004-09-13 :: 1
126664 :: 1015 :: 314254 :: 200909 :: 2004-09-15 :: 1
126668 :: 1003 :: 305799 :: 246946 :: 2004-09-15 :: 1
126678 :: 1016 :: 307274 :: 214852 :: 2004-09-15 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
126681 :: 1009 :: 307843 :: 203393 :: 2004-09-15 :: 1
126683 :: 1012 :: 307558 :: 273372 :: 2004-09-16 :: 1
126694 :: 1007 :: 313822 :: 212395 :: 2004-09-17 :: 1
126706 :: 1017 :: 304132 :: 283972 :: 2004-09-18 :: 1
126722 :: 1004 :: 305614 :: 261708 :: 2004-09-19 :: 1
126728 :: 1016 :: 311996 :: 209128 :: 2004-09-19 :: 1
126737 :: 1018 :: 303366 :: 269394 :: 2004-09-20 :: 1
126742 :: 1007 :: 308012 :: 242586 :: 2004-09-20 :: 1
126758 :: 1008 :: 303929 :: 200450 :: 2004-09-21 :: 1
126775 :: 1018 :: 301232 :: 275447 :: 2004-09-22 :: 1
orders.id :: orders.website_id :: orders.customer_id :: orders.book_id :: orders.date :: orders.quantity
126802 :: 1002 :: 311021 :: 215657 :: 2004-09-23 :: 1
126812 :: 1003 :: 302380 :: 239848 :: 2004-09-24 :: 1
126822 :: 1015 :: 303754 :: 202716 :: 2004-09-25 :: 1
126836 :: 1013 :: 307786 :: 200165 :: 2004-09-26 :: 1
126838 :: 1013 :: 305709 :: 223999 :: 2004-09-26 :: 1
126841 :: 1012 :: 302922 :: 214912 :: 2004-09-26 :: 1
126843 :: 1011 :: 306649 :: 267596 :: 2004-09-26 :: 1
126878 :: 1003 :: 301663 :: 232047 :: 2004-09-28 :: 1
